model_name,epoch,train_loss,val_loss,train_accuracy_pct,val_accuracy_pct,epoch_seconds
swin_tiny_pretrained,1,4.098450092926026,3.5902381790161133,24.022,45.22,161.35618028300087
swin_tiny_pretrained,2,3.183871127853393,2.812996779251099,52.116,56.5,165.0399399050002
swin_tiny_pretrained,3,2.530932684288025,2.2792057510375976,59.55,60.58,166.88205249699968
swin_tiny_pretrained,4,2.091469127044678,1.9297676456451416,62.91,63.43,169.11750633400152
swin_tiny_pretrained,5,1.8033740415954589,1.7002533596038818,64.99,64.78,169.18438123000303
swin_small_pretrained,1,4.027093738937378,3.461553479385376,27.512,50.59,246.92630427800032
swin_small_pretrained,2,3.0146890755462645,2.6106030151367188,56.93,61.42,252.478911102
swin_small_pretrained,3,2.311460955543518,2.051199640274048,63.41,65.08,256.31688692899843
swin_small_pretrained,4,1.8650969638061523,1.7065210012435914,66.168,67.16,258.43372554300004
swin_small_pretrained,5,1.588866813812256,1.4918486946105958,68.028,68.74,259.5031148620001
swin_scratch,1,4.6755901564025875,4.6305972076416015,1.034,1.0,511.6488507139984
swin_scratch,2,4.628799364624023,4.614326536560059,1.068,1.0,667.7432788340011
swin_scratch,3,4.615354471740723,4.609431909179688,0.966,1.0,694.4839091530012
swin_scratch,4,4.612677437133789,4.606850736236573,0.936,1.0,889.4084238049982
swin_scratch,5,4.609510808868408,4.608737641906738,0.984,1.0,519.4796769919994
